[36/54] soft-fs-grid-036: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-036 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.01 --fs-eta-d 0.03
[37/54] soft-fs-grid-037: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-037 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.001 --fs-beta 0.0001 --fs-eta-d 0.005
[38/54] soft-fs-grid-038: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-038 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.001 --fs-beta 0.0001 --fs-eta-d 0.01
[39/54] soft-fs-grid-039: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-039 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.001 --fs-beta 0.0001 --fs-eta-d 0.03
[40/54] soft-fs-grid-040: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-040 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.001 --fs-beta 0.001 --fs-eta-d 0.005
[41/54] soft-fs-grid-041: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-041 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.001 --fs-beta 0.001 --fs-eta-d 0.01
[42/54] soft-fs-grid-042: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-042 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.001 --fs-beta 0.001 --fs-eta-d 0.03
[43/54] soft-fs-grid-043: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-043 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.001 --fs-beta 0.01 --fs-eta-d 0.005
[44/54] soft-fs-grid-044: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-044 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.001 --fs-beta 0.01 --fs-eta-d 0.01
[45/54] soft-fs-grid-045: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-045 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.001 --fs-beta 0.01 --fs-eta-d 0.03
[46/54] soft-fs-grid-046: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-046 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.01 --fs-beta 0.0001 --fs-eta-d 0.005
[47/54] soft-fs-grid-047: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-047 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.01 --fs-beta 0.0001 --fs-eta-d 0.01
[48/54] soft-fs-grid-048: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-048 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.01 --fs-beta 0.0001 --fs-eta-d 0.03
[49/54] soft-fs-grid-049: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-049 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.01 --fs-beta 0.001 --fs-eta-d 0.005
[50/54] soft-fs-grid-050: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-050 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.01 --fs-beta 0.001 --fs-eta-d 0.01
[51/54] soft-fs-grid-051: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-051 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.01 --fs-beta 0.001 --fs-eta-d 0.03
[52/54] soft-fs-grid-052: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-052 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.01 --fs-beta 0.01 --fs-eta-d 0.005
[53/54] soft-fs-grid-053: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-053 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.01 --fs-beta 0.01 --fs-eta-d 0.01
[54/54] soft-fs-grid-054: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-054 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.01 --fs-beta 0.01 --fs-eta-d 0.03
campaign report: C:\Users\Windows\Desktop\论文材料\杂项\软体平台探索实验结果\search_plans\soft-fs-grid-001.report.json
